rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
143,#area523,Tonari no Totoro,Movie,1,1988,446173,8.4
144,#area12029,Uchuu Senkan Yamato 2199,OVA,26,2012,69766,8.4
145,#area31964,Boku no Hero Academia,TV,13,2016,923510,8.4
146,#area25537,Fate/stay night Movie: Heaven&#039;s Feel - I. Presage Flower,Movie,1,2017,130627,8.4
147,#area10087,Fate/Zero,TV,13,2011,724377,8.4
148,#area6594,Katanagatari,TV,12,2010,309978,8.4
149,#area11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,1,2012,121978,8.4
150,#area37078,Quanzhi Gaoshou Specials,ONA,3,2018,40952,8.4
151,#area2559,Romeo no Aoi Sora,TV,33,1995,24457,8.4
152,#area12531,Sakamichi no Apollon,TV,12,2012,207736,8.4
153,#area34036,Detective Conan: Episode One - The Great Detective Turned Small,Special,1,2016,12727,8.4
154,#area3784,Evangelion: 2.0 You Can (Not) Advance,Movie,1,2009,253605,8.4
155,#area486,Kino no Tabi: The Beautiful World,TV,13,2003,159375,8.4
156,#area18115,Magi: The Kingdom of Magic,TV,25,2013,411430,8.4
157,#area5341,Ookami to Koushinryou II,TV,12,2009,294962,8.4
158,#area25835,Shirobako,TV,24,2014,247007,8.4
159,#area10863,Steins;Gate: Oukoubakko no Poriomania,Special,1,2012,243498,8.4
160,#area5,Cowboy Bebop: Tengoku no Tobira,Movie,1,2001,195275,8.4
161,#area37105,Grand Blue,TV,12,2018,136800,8.4
162,#area5420,Kemono no Souja Erin,TV,50,2009,52859,8.4
163,#area34240,Shelter,Music,1,2016,177971,8.4
164,#area25781,Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,2014,179692,8.4
165,#area37430,Tensei shitara Slime Datta Ken,TV,24,2018,196379,8.4
166,#area30230,Diamond no Ace: Second Season,TV,51,2015,63155,8.4
167,#area30346,Doukyuusei (Movie),Movie,1,2016,75948,8.4
168,#area20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,2014,45072,8.4
169,#area1698,Nodame Cantabile,TV,23,2007,210575,8.4
170,#area30503,Noragami Aragoto,TV,13,2015,615799,8.4
171,#area31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,2016,815015,8.4
172,#area1365,Detective Conan Movie 06: The Phantom of Baker Street,Movie,1,2002,41177,8.3
173,#area28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,2015,373172,8.3
174,#area18617,Girls &amp; Panzer Movie,Movie,1,2015,51482,8.3
175,#area14719,JoJo no Kimyou na Bouken (TV),TV,26,2012,402435,8.3
176,#area4081,Natsume Yuujinchou,TV,13,2008,305775,8.3
177,#area19815,No Game No Life,TV,12,2014,1074522,8.3
178,#area5040,One Outs,TV,25,2008,126743,8.3
179,#area45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,1996,293509,8.3
180,#area2685,Tsubasa: Tokyo Revelations,OVA,3,2007,69775,8.3
181,#area137,Hunter x Hunter: Yorkshin City Kanketsu-hen,OVA,8,2002,73043,8.3
182,#area34534,Natsume Yuujinchou Go Specials,Special,2,2017,19204,8.3
183,#area2418,Stranger: Mukou Hadan,Movie,1,2007,188966,8.3
184,#area513,Tenkuu no Shiro Laputa,Movie,1,1986,222572,8.3
185,#area4224,Toradora!,TV,25,2008,990414,8.3
186,#area36946,Dragon Ball Super Movie: Broly,Movie,1,2018,37489,8.3
187,#area139,Hunter x Hunter: Greed Island Final,OVA,14,2004,77545,8.3
188,#area627,Major S1,TV,26,2004,58602,8.3
189,#area1210,NHK ni Youkoso!,TV,24,2006,411792,8.3
190,#area36949,Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,TV,12,2018,212934,8.3
191,#area338,Versailles no Bara,TV,40,1979,48577,8.3
192,#area57,Beck,TV,26,2004,196471,8.3
193,#area6945,Gintama: Shiroyasha Koutan,Special,1,2008,38802,8.3
194,#area32937,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,2017,496090,8.3
195,#area1842,Major S3,TV,26,2007,41635,8.3
196,#area5081,Bakemonogatari,TV,15,2009,722111,8.3
197,#area264,Hajime no Ippo: Champion Road,Special,1,2003,70170,8.3
198,#area15227,Kono Sekai no Katasumi ni,Movie,1,2016,61899,8.3
199,#area11771,Kuroko no Basket,TV,25,2012,524966,8.3
200,#area558,Major S2,TV,26,2005,43257,8.3
201,#area437,Perfect Blue,Movie,1,1998,206798,8.3
202,#area329,Planetes,TV,26,2003,148860,8.3
203,#area37095,Violet Evergarden: Kitto &quot;Koi&quot; wo Shiru Hi ga Kuru no Darou,Special,1,2018,61196,8.3
204,#area5460,Detective Conan Movie 13: The Raven Chaser,Movie,1,2009,31918,8.3
205,#area43,Ghost in the Shell,Movie,1,1995,359745,8.3
206,#area36296,Hinamatsuri,TV,12,2018,176517,8.3
207,#area9617,K-On! Movie,Movie,1,2011,162850,8.3
208,#area11843,Danshi Koukousei no Nichijou,TV,12,2012,408244,8.3
209,#area19363,Gin no Saji 2nd Season,TV,11,2014,93706,8.3
210,#area1889,Higurashi no Naku Koro ni Kai,TV,24,2007,286663,8.3
211,#area5690,Nodame Cantabile Finale,TV,11,2010,89704,8.3
212,#area2966,Ookami to Koushinryou,TV,13,2008,473896,8.3
213,#area34537,Yoru wa Mijikashi Arukeyo Otome,Movie,1,2017,38743,8.3
214,#area36649,Banana Fish,TV,24,2018,102900,8.3
215,#area22297,Fate/stay night: Unlimited Blade Works,TV,12,2014,465059,8.3
216,#area1142,Hachimitsu to Clover II,TV,12,2006,75135,8.3
217,#area23317,Kuroshitsuji: Book of Murder,OVA,2,2015,117926,8.3
218,#area30,Neon Genesis Evangelion,TV,26,1995,704963,8.3
219,#area853,Ouran Koukou Host Club,TV,26,2006,571280,8.3
220,#area6675,Redline,Movie,1,2009,174211,8.3
221,#area35466,ReLIFE: Kanketsu-hen,Special,4,2018,110467,8.3
222,#area9863,SKET Dance,TV,77,2011,139168,8.3
223,#area32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Special,1,2015,106792,8.3
224,#area2236,Toki wo Kakeru Shoujo,Movie,1,2006,445898,8.3
225,#area34822,Tsuki ga Kirei,TV,12,2017,200106,8.3
226,#area34798,Yuru Camp△,TV,12,2018,147734,8.3
227,#area2402,Ashita no Joe,TV,79,1970,34916,8.3
228,#area7674,Bakuman.,TV,25,2010,357595,8.3
229,#area34636,Ballroom e Youkoso,TV,24,2017,138505,8.3
230,#area36896,Boku no Hero Academia the Movie: Futari no Hero,Movie,1,2018,103322,8.3
231,#area35608,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie,1,2018,67819,8.3
232,#area9735,Gintama: Shinyaku Benizakura-hen,Special,1,2010,21800,8.3
233,#area3002,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,2007,164183,8.3
234,#area6811,InuYasha: Kanketsu-hen,TV,26,2009,143811,8.3
235,#area22145,Kuroshitsuji: Book of Circus,TV,10,2014,193343,8.3
236,#area18195,Little Busters!: Refrain,TV,13,2013,102293,8.3
237,#area3226,Major S4,TV,26,2008,39437,8.3
238,#area9890,Major: Message,OVA,1,2010,18483,8.3
239,#area4155,One Piece Film: Strong World,Movie,1,2009,123874,8.3
240,#area13759,Sakurasou no Pet na Kanojo,TV,24,2012,606601,8.3
241,#area1033,Sennen Joyuu,Movie,1,2002,87250,8.3
242,#area759,Tokyo Godfathers,Movie,1,2003,135766,8.3
243,#area12115,Berserk: Ougon Jidai-hen III - Kourin,Movie,1,2013,108811,8.3
244,#area32867,Bungou Stray Dogs 2nd Season,TV,12,2016,233481,8.3
245,#area813,Dragon Ball Z,TV,291,1989,582201,8.3
