rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
66,#area2921,Ashita no Joe 2,TV,47,1980,15419,8.6
68,#area32983,Natsume Yuujinchou Go,TV,11,2016,89851,8.6
69,#area28735,Shouwa Genroku Rakugo Shinjuu,TV,13,2016,155576,8.6
72,#area35839,Sora yori mo Tooi Basho,TV,13,2018,156329,8.6
73,#area5300,Zoku Natsume Yuujinchou,TV,13,2009,156252,8.6
74,#area36259,Pingu in the City,TV,26,2017,26009,8.5
75,#area33352,Violet Evergarden,TV,13,2018,445197,8.5
76,#area3297,Aria The Origination,TV,13,2008,75640,8.5
77,#area6114,Rainbow: Nisha Rokubou no Shichinin,TV,26,2010,214256,8.5
78,#area35843,Gintama.: Porori-hen,TV,13,2017,66059,8.5
81,#area26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,24,2015,233391,8.5
82,#area33255,Saiki Kusuo no Ψ-nan,TV,120,2016,200196,8.5
85,#area12431,Uchuu Kyoudai,TV,99,2012,107262,8.5
86,#area31043,Boku dake ga Inai Machi,TV,12,2016,784095,8.5
87,#area801,Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,26,2004,158944,8.5
88,#area170,Slam Dunk,TV,101,1993,126460,8.5
89,#area9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,2011,721636,8.5
91,#area5028,Major S5,TV,25,2009,41502,8.5
92,#area21,One Piece,TV,869,1999,790730,8.5
94,#area24415,Kuroko no Basket 3rd Season,TV,25,2015,317534,8.5
95,#area10165,Nichijou,TV,26,2011,418260,8.5
96,#area35760,Shingeki no Kyojin Season 3,TV,12,2018,365628,8.5
97,#area28171,Shokugeki no Souma,TV,24,2015,686358,8.5
100,#area10162,Usagi Drop,TV,11,2011,290244,8.5
102,#area22535,Kiseijuu: Sei no Kakuritsu,TV,24,2014,751023,8.5
104,#area32182,Mob Psycho 100,TV,12,2016,569037,8.5
106,#area38262,Pingu in the City (2018),TV,26,2018,3898,8.5
107,#area205,Samurai Champloo,TV,26,2004,594203,8.5
109,#area5941,Cross Game,TV,50,2009,75949,8.4
111,#area17389,Kingdom 2nd Season,TV,39,2013,50190,8.4
112,#area877,Nana,TV,47,2006,281020,8.4
113,#area16498,Shingeki no Kyojin,TV,25,2013,1472352,8.4
114,#area392,Yuu☆Yuu☆Hakusho,TV,112,1992,301738,8.4
115,#area2251,Baccano!,TV,13,2007,517764,8.4
117,#area10030,Bakuman. 2nd Season,TV,25,2011,216402,8.4
118,#area14397,Chihayafuru 2,TV,25,2013,123157,8.4
120,#area35557,Houseki no Kuni,TV,12,2017,166686,8.4
121,#area136,Hunter x Hunter,TV,62,1999,252362,8.4
122,#area16894,Kuroko no Basket 2nd Season,TV,25,2013,383289,8.4
124,#area22789,Barakamon,TV,12,2014,358875,8.4
125,#area467,Ghost in the Shell: Stand Alone Complex,TV,26,2002,267528,8.4
127,#area33,Kenpuu Denki Berserk,TV,25,1997,322271,8.4
129,#area13125,Shinsekai yori,TV,25,2012,447697,8.4
130,#area7655,Major S6,TV,25,2010,36177,8.4
131,#area2246,Mononoke,TV,12,2007,138638,8.4
132,#area31181,Owarimonogatari,TV,12,2015,218819,8.4
133,#area35788,Shokugeki no Souma: San no Sara,TV,12,2017,310206,8.4
134,#area31646,3-gatsu no Lion,TV,22,2016,230158,8.4
137,#area9756,Mahou Shoujo Madoka★Magica,TV,12,2011,685852,8.4
140,#area13601,Psycho-Pass,TV,22,2012,819009,8.4
141,#area25777,Shingeki no Kyojin Season 2,TV,12,2017,757400,8.4
142,#area32282,Shokugeki no Souma: Ni no Sara,TV,13,2016,448354,8.4
